,G_losses,D_losses
0,9.758317947387695,0.03987312689423561
1,9.456123352050781,0.10783136636018753
2,8.172689437866211,0.4189634323120117
3,3.043583869934082,1.584853172302246
4,-8.864107131958008,4.825639724731445
5,-18.193675994873047,6.446152210235596
6,-33.351139068603516,5.638175964355469
7,-57.19347381591797,4.137813568115234
8,-83.67154693603516,0.6157050728797913
9,-130.2312774658203,1.7736015319824219
10,-191.8965301513672,8.314638137817383
11,-259.8097839355469,22.370513916015625
12,-262.51055908203125,33.914920806884766
13,-253.41317749023438,40.7205810546875
14,-330.7081604003906,44.99774932861328
15,-341.1798095703125,51.351722717285156
16,-387.5701904296875,55.308650970458984
17,-381.150390625,53.572486877441406
18,-352.50408935546875,51.94074630737305
19,-398.51715087890625,49.053916931152344
20,-407.6809387207031,45.85425567626953
21,-458.0935363769531,37.44475555419922
22,-396.6192932128906,25.268957138061523
23,-451.3945617675781,7.750785827636719
24,-426.80267333984375,-10.307343482971191
25,-376.3931884765625,-28.081995010375977
26,-310.3185119628906,-42.30088806152344
27,-279.0540771484375,-51.35564422607422
28,-239.79251098632812,-57.351749420166016
29,-157.6415252685547,-58.1834831237793
30,-159.15357971191406,-59.86979675292969
31,-142.66226196289062,-61.672523498535156
32,-93.50042724609375,-62.29114532470703
33,-128.6318359375,-70.03175354003906
34,-113.8593521118164,-74.1915283203125
35,-102.90160369873047,-78.3765640258789
36,-143.54315185546875,-86.48129272460938
37,-138.05892944335938,-93.09056091308594
38,-155.35305786132812,-100.69979858398438
39,-178.5392303466797,-109.10957336425781
40,-164.04458618164062,-114.52499389648438
41,-155.8087158203125,-115.3158187866211
42,-125.83045959472656,-113.93647003173828
43,-141.12057495117188,-112.50592803955078
44,-109.09195709228516,-103.86324310302734
45,-104.58059692382812,-92.01409912109375
46,-64.24934387207031,-78.04293823242188
47,-41.826805114746094,-65.76470947265625
48,-32.66288757324219,-55.96455001831055
49,-30.336776733398438,-46.625484466552734
50,-22.437042236328125,-39.72333526611328
51,-20.4619140625,-34.277469635009766
52,-17.662368774414062,-30.683385848999023
53,-24.438295364379883,-28.204090118408203
54,-22.384185791015625,-24.97170066833496
55,-20.250141143798828,-22.22430419921875
56,-21.414670944213867,-21.126502990722656
57,-19.99356460571289,-19.13747215270996
58,-19.984344482421875,-17.476116180419922
59,-19.120315551757812,-16.807064056396484
60,-20.084232330322266,-16.483535766601562
61,-20.549840927124023,-16.262554168701172
62,-21.40744400024414,-15.510825157165527
63,-14.735555648803711,-14.011777877807617
64,-17.21720314025879,-14.160660743713379
65,-17.70958709716797,-13.693607330322266
66,-17.331789016723633,-12.876035690307617
67,-16.8900146484375,-12.906930923461914
68,-19.214811325073242,-13.453268051147461
69,-17.88935089111328,-13.041227340698242
70,-14.226044654846191,-11.04633903503418
71,-17.959854125976562,-12.540477752685547
72,-13.988969802856445,-10.859708786010742
73,-14.892627716064453,-11.28028392791748
74,-13.541741371154785,-10.608048439025879
75,-12.880465507507324,-9.658430099487305
76,-16.404361724853516,-12.02241039276123
77,-15.704020500183105,-11.4725980758667
78,-14.397224426269531,-11.870601654052734
79,-14.668783187866211,-11.359890937805176
80,-12.416292190551758,-11.125875473022461
81,-15.785360336303711,-12.30916976928711
82,-12.618462562561035,-11.058435440063477
83,-13.943904876708984,-13.558993339538574
84,-11.691158294677734,-10.686771392822266
85,-13.113574981689453,-11.418867111206055
